State name,Latitude,Longitude,District code,District name,Population,Households_with_Internet,sex_ratio,literacy_rate
RAJASTHAN,24.631623761665463,74.80010997846382,126,Chittaurgarh,1544338,4941,971.9,53.22
RAJASTHAN,25.175718080000014,76.18618928000001,127,Kota,1951014,12843,910.58,66.55
RAJASTHAN,24.98023243243244,76.86210651828291,128,Baran,1222755,1363,928.8,56.7
RAJASTHAN,24.24725541474657,76.11242891705065,129,Jhalawar,1411129,1750,946.0,52.43
RAJASTHAN,24.44076752136749,73.84029839743584,130,Udaipur,3068420,14211,958.4,51.58
RAJASTHAN,25.864842731707316,81.93530048780492,131,Pratapgarh,867848,716,982.55,46.27
UTTAR PRADESH,25.864842731707316,81.93530048780492,173,Pratapgarh,3209141,5149,998.11,60.19
UTTAR PRADESH,30.03381165217392,77.59905147826095,132,Saharanpur,3466382,9699,889.96,59.92
UTTAR PRADESH,29.470507977736563,77.64017847866423,133,Muzaffarnagar,4143512,10077,889.05,58.34
UTTAR PRADESH,29.313974259681096,78.45098815489754,134,Bijnor,3682713,7303,916.87,57.98
UTTAR PRADESH,28.851770406189537,78.73580193423597,135,Moradabad,4772006,11690,906.37,47.44
UTTAR PRADESH,28.83244727272725,79.10977333333337,136,Rampur,2335819,3847,908.52,44.68
UTTAR PRADESH,28.870498984771597,78.39009365482241,137,Jyotiba Phule Nagar,1840221,2825,910.03,53.42
UTTAR PRADESH,29.02957625698323,77.80611005586593,138,Meerut,3443689,23717,886.18,62.19
UTTAR PRADESH,29.045793499999988,77.30266300000001,139,Baghpat,1303048,2989,861.31,61.24
UTTAR PRADESH,28.74997308584685,77.67441879350343,140,Ghaziabad,4681645,78116,881.06,66.71
UTTAR PRADESH,28.393311038961038,77.52462467532465,141,Gautam Buddha Nagar,1648115,53181,851.37,68.14
UTTAR PRADESH,28.34875862068968,78.01082758620684,142,Bulandshahr,3499171,7865,896.3,58.06
UTTAR PRADESH,27.93748576850093,78.00146831119557,143,Aligarh,3673889,13634,882.12,56.96
UTTAR PRADESH,27.59390432801821,77.62153416856502,145,Mathura,2547184,8726,863.17,59.19
UTTAR PRADESH,26.99512974910393,78.05278291517321,146,Agra,4418797,27183,868.45,60.66
UTTAR PRADESH,27.20963993055552,78.42660624999998,147,Firozabad,2498156,5834,875.43,60.92
UTTAR PRADESH,27.17386862302482,79.03501851015807,148,Mainpuri,1868529,2642,880.99,64.43
UTTAR PRADESH,28.51101940789474,79.43187072368416,150,Bareilly,4448359,15164,886.76,49.27
